country,name,full_name,isin,currency,symbol
brazil,ABC BRASIL PN,Banco ABC Brasil SA,BRABCBACNPR4,BRL,ABCB4
brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,BRAGROACNOR7,BRL,AGRO3
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3
brazil,ALPARGATAS ON,Alpargatas SA,BRALPAACNOR0,BRL,ALPA3
brazil,ALPARGATAS PN,Alpargatas SA,BRALPAACNPR7,BRL,ALPA4
brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,BRALSOACNOR5,BRL,ALSO3
brazil,LOJAS MARISA ON,Marisa Lojas SA,BRAMARACNOR4,BRL,AMAR3
brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3
brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,BRADHMACNOR9,BRL,ADHM3
brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,BRARZZACNOR3,BRL,ARZZ3
brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3
brazil,BRADESCO ON,Banco Bradesco SA,BRBBDCACNOR1,BRL,BBDC3
brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,BRL,BBDC4
brazil,BR BROKERS ON,Brasil Brokers Participacoes SA,BRBBRKACNOR4,BRL,BBRK3
brazil,MINERVA ON,Minerva SA/Brazil,BRBEEFACNOR6,BRL,BEEF3
brazil,BR PHARMA ON,Brasil Pharma SA,BRBPHAACNOR6,BRL,BPHA3
brazil,BANCO PAN SA PN,Banco Pan SA,BRBPANACNPR1,BRL,BPAN4
brazil,BRADESPAR ON,Bradespar SA,BRBRAPACNOR5,BRL,BRAP3
brazil,BRADESPAR PN,Bradespar SA,BRBRAPACNPR2,BRL,BRAP4
brazil,BRF SA ON,BRF SA,BRBRFSACNOR8,BRL,BRFS3
brazil,BR Insurance Corretora,BR Insurance Corretora de Seguros SA,BRAPERACNOR9,BRL,APER3
brazil,BRASKEM ON,Braskem SA,BRBRKMACNOR1,BRL,BRKM3
brazil,BRASKEM PNA,Braskem SA,BRBRKMACNPA4,BRL,BRKM5
brazil,BR MALLS PAR ON,BR Malls Participacoes SA,BRBRMLACNOR9,BRL,BRML3
brazil,BR PROPERT ON,BR Properties SA,BRBRPRACNOR9,BRL,BRPR3
brazil,BANRISUL PNB,BANRISUL PNB N1,BRBRSRACNPB4,BRL,BRSR6
brazil,OI ON N1,Oi SA,BROIBRACNOR1,BRL,OIBR3
brazil,OI PN,Oi SA Pref,BROIBRACNPR8,BRL,OIBR4
