company_id,marketCap,currentPrice,targetHighPrice,targetLowPrice,targetMedianPrice,totalCash,currency,recommendationMean,recommendationKey,boardRisk,auditRisk
ABCB4,5634686464.0,24.23,28.0,18.64,26.53,11555129344.0,BRL,2.5,buy,,
AGRO3,2446556672.0,24.56,43.0,29.7,36.35,220083008.0,BRL,2.5,buy,,
RAIL3,41170092032.0,22.26,32.0,24.0,30.0,8629999616.0,BRL,2.0,buy,4.0,3.0
ALPA3,6498146816.0,10.06,,,,922524992.0,BRL,,none,9.0,6.0
ALPA4,6756360192.0,9.53,13.0,9.5,10.0,922524992.0,BRL,2.6,hold,9.0,6.0
ALSO3,,,,,,,,,,,
AMAR3,126775688.0,1.85,8.0,8.0,8.0,92328000.0,BRL,3.0,hold,,
ABEV3,196709990400.0,12.49,21.0,12.15,16.2,16336166912.0,BRL,2.3,buy,3.0,1.0
ADHM3,25439700.0,1.56,,,,,BRL,,none,,
ARZZ3,7131270144.0,64.27,108.0,66.75,84.0,538846976.0,BRL,1.8,buy,,
BBAS3,161583841280.0,56.62,90.0,40.0,69.0,463658942464.0,BRL,1.8,buy,5.0,6.0
BBDC3,143466414080.0,12.74,,,,247270178816.0,BRL,,none,6.0,4.0
BBDC4,143250259968.0,14.26,20.0,14.0,16.0,247270178816.0,BRL,2.9,hold,6.0,4.0
BBRK3,,,,,,,,,,,
BEEF3,3960907008.0,6.75,16.0,8.0,11.75,12678589440.0,BRL,2.1,buy,9.0,7.0
BPHA3,70110224.0,0.62,35.0,35.0,35.0,,BRL,4.0,underperform,,
BPAN4,12037565440.0,9.52,13.0,5.3,9.3,2941852928.0,BRL,2.6,hold,,
BRAP3,7989868032.0,19.96,,,,503064000.0,BRL,,none,,
BRAP4,8015893504.0,20.59,29.0,26.4,28.25,503064000.0,BRL,2.0,buy,,
BRFS3,27253420032.0,16.32,18.3,9.7,13.0,9712541696.0,BRL,3.1,hold,3.0,5.0
APER3,908614080.0,44.56,,,,33184000.0,BRL,,none,,
BRKM3,20687327232.0,25.64,,,,19143000064.0,BRL,,none,3.0,5.0
BRKM5,20710139904.0,26.4,40.0,13.0,27.0,19143000064.0,BRL,2.6,hold,3.0,5.0
BRML3,,,,,,,,,,,
BRPR3,60919544.0,131.17,10900.0,1380.25,8250.0,166231008.0,BRL,3.0,hold,,
BRSR6,5448308736.0,13.35,17.0,9.6,15.0,16667628544.0,BRL,3.0,hold,8.0,7.0
OIBR3,410879072.0,0.66,2.5,0.15,0.8,2483016960.0,BRL,3.5,hold,1.0,9.0
OIBR4,432483040.0,1.89,,,,2483016960.0,BRL,3.0,hold,1.0,9.0
BTOW3,,,,,,,,,,,
B3SA3,67029016576.0,11.99,17.0,13.1,16.0,15949763584.0,BRL,2.7,hold,1.0,2.0
CAMB4,,,,,,,,,,,
CARD3,,,,,,,,,,,
CCPR3,,,,,,,,,,,
CCRO3,27873835008.0,13.82,19.0,15.0,16.0,7004154880.0,BRL,2.2,buy,5.0,3.0
CEDO4,318550400.0,28.0,,,,33416000.0,BRL,,none,,
CEED3,1562890496.0,22.9,,,,1320189056.0,BRL,,none,,
CESP6,,,,,,,,,,,
CGAS5,16284416000.0,129.01,,,,3308265984.0,BRL,,none,,
CGRA4,549993088.0,28.2,,,,168715008.0,BRL,,none,,
