company_id,shortName,longName,industry,industryKey,sector,sectorKey,symbolWithSa
ABCB4,ABC BRASIL  PN      N2,Banco ABC Brasil S.A.,Banks - Regional,banks-regional,Financial Services,financial-services,ABCB4.SA
AGRO3,BRASILAGRO  ON      NM,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Farm Products,farm-products,Consumer Defensive,consumer-defensive,AGRO3.SA
RAIL3,RUMO S.A.   ON      NM,Rumo S.A.,Railroads,railroads,Industrials,industrials,RAIL3.SA
ALPA3,ALPARGATAS  ON      N1,Alpargatas S.A.,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,ALPA3.SA
ALPA4,ALPARGATAS  PN      N1,Alpargatas S.A.,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,ALPA4.SA
ALSO3,,,,,,,
AMAR3,LOJAS MARISAON      NM,Marisa Lojas S.A.,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,AMAR3.SA
ABEV3,AMBEV S/A   ON,Ambev S.A.,Beverages - Brewers,beverages-brewers,Consumer Defensive,consumer-defensive,ABEV3.SA
ADHM3,"ADVANCED,DH ON",Advanced Digital Health Medicina Preventiva S.A.,,,,,ADHM3.SA
ARZZ3,AREZZO CO   ON      NM,Arezzo Indústria e Comércio S.A.,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,ARZZ3.SA
BBAS3,BRASIL      ON      NM,Banco do Brasil S.A.,Banks - Regional,banks-regional,Financial Services,financial-services,BBAS3.SA
BBDC3,BRADESCO    ON      N1,Banco Bradesco S.A.,Banks - Regional,banks-regional,Financial Services,financial-services,BBDC3.SA
BBDC4,BRADESCO    PN      N1,Banco Bradesco S.A.,Banks - Regional,banks-regional,Financial Services,financial-services,BBDC4.SA
BBRK3,,,,,,,BBRK3.SA
BEEF3,MINERVA     ON      NM,Minerva S.A.,Farm Products,farm-products,Consumer Defensive,consumer-defensive,BEEF3.SA
BPHA3,BR PHARMA   ON      NM,Brasil Pharma S.A.,,,,,BPHA3.SA
BPAN4,BANCO PAN   PN      N1,Banco Pan S.A.,Banks - Regional,banks-regional,Financial Services,financial-services,BPAN4.SA
BRAP3,BRADESPAR   ON      N1,Bradespar S.A.,Asset Management,asset-management,Financial Services,financial-services,BRAP3.SA
BRAP4,BRADESPAR   PN      N1,Bradespar S.A.,Asset Management,asset-management,Financial Services,financial-services,BRAP4.SA
BRFS3,BRF SA      ON      NM,BRF S.A.,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,BRFS3.SA
APER3,ALPER S.A.  ON,Alper Consultoria e Corretora de Seguros S.A.,Insurance Brokers,insurance-brokers,Financial Services,financial-services,APER3.SA
BRKM3,BRASKEM     ON      N1,Braskem S.A.,Chemicals,chemicals,Basic Materials,basic-materials,BRKM3.SA
BRKM5,BRASKEM     PNA     N1,Braskem S.A.,Chemicals,chemicals,Basic Materials,basic-materials,BRKM5.SA
BRML3,,,,,,,BRML3.SA
BRPR3,BR PROPERT  ON,BR Properties S.A.,Real Estate Services,real-estate-services,Real Estate,real-estate,BRPR3.SA
BRSR6,BANRISUL    PNB EJ  N1,Banco do Estado do Rio Grande do Sul S.A.,Banks - Regional,banks-regional,Financial Services,financial-services,BRSR6.SA
OIBR3,OI          ON      N1,Oi S.A.,Telecom Services,telecom-services,Communication Services,communication-services,OIBR3.SA
OIBR4,OI          PN      N1,Oi S.A.,Telecom Services,telecom-services,Communication Services,communication-services,OIBR4.SA
BTOW3,,,,,,,BTOW3.SA
B3SA3,B3          ON      NM,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,B3SA3.SA
CAMB4,,,,,,,CAMB4.SA
CARD3,,,,,,,CARD3.SA
CCPR3,,,,,,,CCPR3.SA
CCRO3,CCR SA      ON      NM,CCR S.A.,Infrastructure Operations,infrastructure-operations,Industrials,industrials,CCRO3.SA
CEDO4,CEDRO       PN      N1,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.,Textile Manufacturing,textile-manufacturing,Consumer Cyclical,consumer-cyclical,CEDO4.SA
CEED3,CEEE-D      ON,Companhia Estadual de Distribuição de Energia Elétrica,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,CEED3.SA
CESP6,,,,,,,CESP6.SA
CGAS5,COMGAS      PNA,Companhia de Gás de São Paulo - COMGÁS,Utilities - Regulated Gas,utilities-regulated-gas,Utilities,utilities,CGAS5.SA
CGRA4,GRAZZIOTIN  PN,Grazziotin S.A.,Department Stores,department-stores,Consumer Cyclical,consumer-cyclical,CGRA4.SA
CIEL3,CIELO       ON  EJ  NM,Cielo S.A.,Software - Infrastructure,software-infrastructure,Technology,technology,CIEL3.SA
CMIG3,CEMIG       ON      N1,Companhia Energética de Minas Gerais - CEMIG,Utilities - Diversified,utilities-diversified,Utilities,utilities,CMIG3.SA
CMIG4,CEMIG       PN      N1,Companhia Energética de Minas Gerais - CEMIG,Utilities - Diversified,utilities-diversified,Utilities,utilities,CMIG4.SA
COCE5,COELCE      PNA,Companhia Energética do Ceará - COELCE,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,COCE5.SA
CPFE3,CPFL ENERGIAON      NM,CPFL Energia S.A.,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,CPFE3.SA
CPLE3,COPEL       ON      N2,Companhia Paranaense de Energia - COPEL,Utilities - Diversified,utilities-diversified,Utilities,utilities,CPLE3.SA
CPLE6,COPEL       PNB     N2,Companhia Paranaense de Energia - COPEL,Utilities - Diversified,utilities-diversified,Utilities,utilities,CPLE6.SA
CRDE3,,,,,,,CRDE3.SA
CSAN3,COSAN       ON      NM,Cosan S.A.,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,CSAN3.SA
CSMG3,COPASA      ON      NM,Companhia de Saneamento de Minas Gerais,Utilities - Regulated Water,utilities-regulated-water,Utilities,utilities,CSMG3.SA
CSNA3,SID NACIONALON,Companhia Siderúrgica Nacional,Steel,steel,Basic Materials,basic-materials,CSNA3.SA
LIQO3,,,,,,,LIQO3.SA
CTNM4,COTEMINAS   PN,Companhia de Tecidos Norte de Minas,Textile Manufacturing,textile-manufacturing,Consumer Cyclical,consumer-cyclical,CTNM4.SA
CYRE3,CYRELA REALTON      NM,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,CYRE3.SA
DASA3,DASA        ON      NM,Diagnósticos da América S.A.,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,DASA3.SA
DIRR3,DIRECIONAL  ON      NM,Direcional Engenharia S.A.,Real Estate - Development,real-estate-development,Real Estate,real-estate,DIRR3.SA
DTEX3,,,,,,,DTEX3.SA
ECOR3,ECORODOVIAS ON      NM,EcoRodovias Infraestrutura e Logística S.A.,Infrastructure Operations,infrastructure-operations,Industrials,industrials,ECOR3.SA
EEEL3,,,,,,,EEEL3.SA
ELEK4,,,,,,,ELEK4.SA
ELET3,ELETROBRAS  ON      N1,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Renewable,utilities-renewable,Utilities,utilities,ELET3.SA
ELET6,ELETROBRAS  PNB     N1,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities - Renewable,utilities-renewable,Utilities,utilities,ELET6.SA
EMBR3,EMBRAER     ON      NM,Embraer S.A.,Aerospace & Defense,aerospace-defense,Industrials,industrials,EMBR3.SA
ENBR3,,,,,,,
ENGI4,ENERGISA    PN      N2,Energisa S.A.,Utilities - Renewable,utilities-renewable,Utilities,utilities,ENGI4.SA
EQTL3,EQUATORIAL  ON      NM,Equatorial Energia S.A.,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,EQTL3.SA
