company_id,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh
ABCB4,24.98,24.95,24.23,24.95,24.98,24.95,24.23,24.95
AGRO3,24.8,24.88,24.54,25.01,24.8,24.88,24.54,25.01
RAIL3,22.47,22.69,22.13,22.69,22.47,22.69,22.13,22.69
ALPA3,10.35,10.05,9.92,10.2,10.35,10.05,9.92,10.2
ALPA4,9.43,9.43,9.35,9.77,9.43,9.43,9.35,9.77
ALSO3,,,,,,,,
AMAR3,1.82,1.78,1.78,1.87,1.82,1.78,1.78,1.87
ABEV3,12.45,12.38,12.36,12.55,12.45,12.38,12.36,12.55
ADHM3,1.56,,,,1.56,,,
ARZZ3,63.47,63.45,62.96,65.02,63.47,63.45,62.96,65.02
BBAS3,55.97,55.76,55.65,56.88,55.97,55.76,55.65,56.88
BBDC3,12.81,12.8,12.69,12.87,12.81,12.8,12.69,12.87
BBDC4,14.36,14.36,14.22,14.48,14.36,14.36,14.22,14.48
BBRK3,,,,,,,,
BEEF3,6.71,6.74,6.68,6.83,6.71,6.74,6.68,6.83
BPHA3,0.62,,0.62,0.62,0.62,,0.62,0.62
BPAN4,9.86,9.86,9.45,9.86,9.86,9.86,9.45,9.86
BRAP3,19.85,19.95,19.77,19.96,19.85,19.95,19.77,19.96
BRAP4,20.41,20.5,20.33,20.65,20.41,20.5,20.33,20.65
BRFS3,15.78,15.83,15.75,16.53,15.78,15.83,15.75,16.53
APER3,44.55,44.57,44.56,44.58,44.55,44.57,44.56,44.58
BRKM3,26.66,26.49,25.61,26.49,26.66,26.49,25.61,26.49
BRKM5,27.42,27.3,26.29,27.3,27.42,27.3,26.29,27.3
BRML3,,,,,,,,
BRPR3,131.17,,,,131.17,,,
BRSR6,13.54,13.55,13.3,13.58,13.54,13.55,13.3,13.58
OIBR3,0.68,0.66,0.64,0.67,0.68,0.66,0.64,0.67
OIBR4,1.85,1.88,1.86,1.9,1.85,1.88,1.86,1.9
BTOW3,,,,,,,,
B3SA3,12.02,11.98,11.93,12.13,12.02,11.98,11.93,12.13
CAMB4,,,,,,,,
CARD3,,,,,,,,
