média do previousClouse,longname
66.45999908447266,Unipar Carbocloro S.A.
63.79999923706055,Suzano S.A.
60.599998474121094,Vale S.A.
43,Companhia Melhoramentos de São Paulo
33.19500160217285,Tronox Pigmentos do Brasil S.A.
31.449999809265137,Panatlântica S.A.
29.899999618530273,São Martinho S.A.
27.039999961853027,Braskem S.A.
20.875,Gerdau S.A.
16.299999237060547,Mangels Industrial S.A.
15.640000343322754,Companhia Siderúrgica Nacional
12.289999961853027,Cia de Ferro Ligas da Bahia S.A. - FERBASA
12.136666615804037,Usinas Siderúrgicas de Minas Gerais S.A.
10.329999923706055,Metalurgica Gerdau S.A.
5.71999979019165,Fertilizantes Heringer S.A.
5.659999847412109,Nutriplant Indústria e Comércio S/A
5.005000114440918,Klabin S.A.
3.3299999237060547,Paranapanema S.A.
